title	author	publisher	price
You Can Combat Computer Stress!	Marjorie Green	New Moon Books	2.99
Straight Talk About Computers	Dean Straight	Algodata Infosystems	19.99
Silicon Valley Gastronomic Treats	Innes del Castillo	Binnet & Hardley	19.99
But Is It User Friendly?	Cheryl Carson	Algodata Infosystems	22.95
Net Etiquette	Charlene Locksley	Algodata Infosystems	NULL
Life Without Fear	Albert Ringer	New Moon Books	7.00
Prolonged Data Deprivation: Four Case Studies	Johnson White	New Moon Books	19.99
Emotional Security: A New Algorithm	Charlene Locksley	New Moon Books	7.99
Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean	Sylvia Panteley	Binnet & Hardley	20.95
Fifty Years in Buckingham Palace Kitchens	Reginald Blotchet-Halls	Binnet & Hardley	11.95
